month,segment,customers,orders,revenue,quantity
2024-01,Champions,1,1,120000.0,5
2024-01,Hibernating,1,1,95000.0,3
2024-01,Loyal Customers,1,1,85000.0,2
2024-01,Potential Loyalist,2,2,117000.0,5
2024-02,Champions,4,4,488000.0,16
2024-02,Hibernating,2,2,187000.0,5
2024-02,Potential Loyalist,3,3,198000.0,10
2024-03,Big Spenders,3,3,385000.0,10
2024-03,Hibernating,7,7,613000.0,24
2024-04,Big Spenders,3,3,545000.0,12
2024-04,Hibernating,5,5,385000.0,19
2024-05,Big Spenders,6,6,791500.0,15
2024-05,Hibernating,1,1,72000.0,4
2024-05,Potential Loyalist,1,1,85000.0,2
2024-06,Big Spenders,7,7,939800.0,15
2024-06,Potential Loyalist,1,1,108000.0,2
2024-07,Big Spenders,5,5,595500.0,10
2024-07,Loyal Customers,2,2,230000.0,4
2024-07,Potential Loyalist,1,1,110000.0,3
2024-08,Champions,5,5,525800.0,12
2024-08,Loyal Customers,2,2,212000.0,6
2024-08,Potential Loyalist,1,1,88000.0,4
2024-09,Champions,4,4,397000.0,9
2024-09,Loyal Customers,2,2,158000.0,6
2024-09,Potential Loyalist,2,2,147000.0,4
2024-10,Champions,2,2,292000.0,6
2024-10,Loyal Customers,3,3,305000.0,8
2024-10,Potential Loyalist,3,3,239000.0,8
2024-11,Champions,2,2,235000.0,5
2024-11,Loyal Customers,2,2,160000.0,4
2024-11,Potential Loyalist,1,1,69500.0,3
2024-12,Champions,3,3,250500.0,6
2024-12,Loyal Customers,1,1,86000.0,3
2024-12,New / Recent Customers,1,1,67000.0,2
2024-12,Potential Loyalist,3,3,225500.0,8
2025-01,Big Spenders,1,1,59500.0,3
2025-01,Champions,2,2,271000.0,6
2025-01,Hibernating,2,2,152000.0,6
2025-01,New / Recent Customers,1,1,81000.0,3
2025-01,Potential Loyalist,2,2,102000.0,6
2025-02,Big Spenders,2,2,185500.0,5
2025-02,Hibernating,6,6,491000.0,15
2025-03,Big Spenders,3,3,313500.0,8
2025-03,Hibernating,5,5,371400.0,15
2025-04,Big Spenders,7,7,758000.0,14
2025-04,Potential Loyalist,1,1,85500.0,2
2025-05,Big Spenders,6,6,710000.0,12
2025-05,Potential Loyalist,2,2,124000.0,4
2025-06,Big Spenders,5,5,696000.0,11
2025-06,Champions,1,1,161500.0,3
2025-06,Loyal Customers,2,2,128800.0,5
2025-07,Champions,4,4,488000.0,11
2025-07,Loyal Customers,2,2,150000.0,5
2025-07,Potential Loyalist,2,2,142000.0,4
2025-08,Champions,5,5,586000.0,11
2025-08,Loyal Customers,2,2,200000.0,5
2025-08,Potential Loyalist,1,1,52500.0,3
2025-09,Champions,2,2,221000.0,4
2025-09,Loyal Customers,3,3,236500.0,9
2025-09,Potential Loyalist,3,3,192000.0,9
2025-10,Champions,1,1,98000.0,2
2025-10,Loyal Customers,2,2,172000.0,5
2025-10,Potential Loyalist,1,1,86000.0,2
